TITLE	AUTHOR	SERIES	GENRE	PUBLISHER
Vorstoß in die Dunkelwelt	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Die Geistersonne	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Sperrzone in Andromeda	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Im Reiche der Zentrumswächter	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Der Dreitöter	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Die Micro-Henker	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Der unheimliche Roboter	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Gespenster der Vergangenheit	Mahr Kurt	Perry Rhodan	scifi	Pabel-Moewig
Die Fabrik des Teufels	Mahr Kurt	Perry Rhodan	scifi	Pabel-Moewig
Der Meisterplan	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Sieben Stunden Angst	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Die Invasion der Toten	Scheer Karl-Herbert	Perry Rhodan	scifi	Pabel-Moewig
Das Zeitauge	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Die Tempel von Darak	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Rückkehr in die Gegenwart	Mahr Kurt	Perry Rhodan	scifi	Pabel-Moewig
Stoßtrupp in Zeit und Raum	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Jagd auf den Zeitagenten	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Ultimatum an Unbekannt	Scheer Karl-Herbert	Perry Rhodan	scifi	Pabel-Moewig
Die Welt der Körperlosen	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Flaggschiff in Not	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Unter den Gletschern von Nevada	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Zwischen Feuer und Eis	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Der Flug nach Barkon	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Irrweg durch die Zeit	Mahr Kurt	Perry Rhodan	scifi	Pabel-Moewig
Befehle aus der 5.Dimension	Scheer Karl-Herbert	Perry Rhodan	scifi	Pabel-Moewig
In geheimer Mission auf Lemuria	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Die Bezwinger der Zeit	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Die Weltraumdetektive greifen ein	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Kampf in der Tiefsee	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Die Spur führt zu Jagos Stern	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Flucht vom Giftplaneten	Mahr Kurt	Perry Rhodan	scifi	Pabel-Moewig
Anschlag gegen die Erde	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Die dritte Waffe	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Jagd auf die Teleporterkugel	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Die Halle der Unbesiegbaren	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Das Sonneninferno	Scheer Karl-Herbert	Perry Rhodan	scifi	Pabel-Moewig
Das System der blauen Riesen	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Koordinaten ins Jenseits	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Brücke zwischen den Sternen	Mahr Kurt	Perry Rhodan	scifi	Pabel-Moewig
Der Bahnhof im Weltraum	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Unternehmen Central-Station	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Die Eroberer	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Der verlorene Planet	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Die Herrin der Sterne	Mahr Kurt	Perry Rhodan	scifi	Pabel-Moewig
Superfestung Tamanium	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Amoklauf der Schläfer	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Am Ende der Macht	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Alarm im Sektor Morgenrot	Scheer Karl-Herbert	Perry Rhodan	scifi	Pabel-Moewig
Die Plattform des Schreckens	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Gestatten Gucky und Sohn	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Im Labyrinth des Todes	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Überfall auf Old Man	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Die Stunde der Hypno-Kristalle	Mahr Kurt	Perry Rhodan	scifi	Pabel-Moewig
Keine Rettung für Schlachtschiff Omaso	Shepherd Conrad	Perry Rhodan	scifi	Pabel-Moewig
Die Macht der Gläsernen	Scheer Karl-Herbert	Perry Rhodan	scifi	Pabel-Moewig
Grüner Mond über Jelly-City	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Die Sklavenwelt von Magellan	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Das Geschenk der Zeitreisenden	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Tödliche Fracht nach Danger I	Mahr Kurt	Perry Rhodan	scifi	Pabel-Moewig
Das Geheimnis der Regenwelt	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Im Lager der Löwenmenschen	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Chaos über Modula	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Kreuzfahrt durch Magellan	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Der Sprung ins Verderben	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Terror auf dem Kristallplaneten	Mahr Kurt	Perry Rhodan	scifi	Pabel-Moewig
Die Zentrale der Freischärler	Shepherd Conrad	Perry Rhodan	scifi	Pabel-Moewig
Der Phantomsender	Shepherd Conrad	Perry Rhodan	scifi	Pabel-Moewig
Operation Blitz	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Zwischenfall im Tiger-Sektor	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Ein Gigant erwacht	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Die Zeitpolizei	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Im Nichts gestrandet	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Das Zeitexperiment der Verbannten	Mahr Kurt	Perry Rhodan	scifi	Pabel-Moewig
Gucky und der Golem	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Die vier Unheimlichen	Scheer Karl-Herbert	Perry Rhodan	scifi	Pabel-Moewig
Die Flotte der gläsernen Särge	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Ein Planet läuft Amok	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Ein Mann wie Rhodan	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Aufstand der Menschheit	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Kampf um den Neptunmond	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Das Meer der Träume	Mahr Kurt	Perry Rhodan	scifi	Pabel-Moewig
Im Arsenal der Giganten	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Drei gegen Old Man	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Gucky und der Vakupath	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Kontakte mit Unbekannt	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Die stählerne Zitadelle	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Die Kammer der tausend Schrecken	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Kreuzwege im Kosmos	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Der planetarische Kerker	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Die Bestien sollen sterben	Mahr Kurt	Perry Rhodan	scifi	Pabel-Moewig
Planet der tausend Freuden	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Die Kidnapper des Auserwählten	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Verfolgungsjagd im Halbraum	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Warnung aus dem Jenseits	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Die Sucher von M-87	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Die kosmische Falle	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Die Partisanen von der CREST	Mahr Kurt	Perry Rhodan	scifi	Pabel-Moewig
Robot-Patrouille	Scheer Karl-Herbert	Perry Rhodan	scifi	Pabel-Moewig
Der versklavte Riese	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Der Planet des tödlichen Schweigens	Kneifel Hans	Perry Rhodan	scifi	Pabel-Moewig
Brutstation im Pararaum	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Experimente mit der Zeit	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Der Doppelagent von Rumal	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Ein Zeitpolizist desertiert	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Die Arenakämpfer	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Begegnung in M-87	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Die Korvette der Todeskandidaten	Mahr Kurt	Perry Rhodan	scifi	Pabel-Moewig
Im Reich der Teleporter	Kneifel Hans	Perry Rhodan	scifi	Pabel-Moewig
Der Turm des ewigen Lebens	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Der Irre und der Tote	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Nacht zwischen den Sonnen	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Die grüne Bestie	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Das strahlende Netz	Kneifel Hans	Perry Rhodan	scifi	Pabel-Moewig
Das Rätsel der Biostation	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Im Zentrum der Riesensonne	Scheer Karl-Herbert	Perry Rhodan	scifi	Pabel-Moewig
Von Galaxis zu Galaxis	Mahr Kurt	Perry Rhodan	scifi	Pabel-Moewig
Auf Dolan-Jagd	Kneifel Hans	Perry Rhodan	scifi	Pabel-Moewig
Verrat auf Oldman	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Attentat auf die Sonne	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Expedition zur verbotenen Welt	Kneifel Hans	Perry Rhodan	scifi	Pabel-Moewig
In der Todeszone	Kneifel Hans	Perry Rhodan	scifi	Pabel-Moewig
Die Macht des Sepulveda	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Verschwörung in Andromeda	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Stimmen aus der Vergangenheit	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Die Wüste der strahlenden Steine	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Planet der Ungeheuer	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Das Tor zur Hölle	Mahr Kurt	Perry Rhodan	scifi	Pabel-Moewig
Das Zeitkommando	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Unternehmen Südsee	Kneifel Hans	Perry Rhodan	scifi	Pabel-Moewig
Planet der Ruinen	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Die phantastische Reise der FD-4	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Die Welt der Unsichtbaren	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Die Letzten von der Francis Drake	Kneifel Hans	Perry Rhodan	scifi	Pabel-Moewig
Hilfe von Sol	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Spur zwischen den Sternen	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Götter aus dem Kosmos	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Mond der Rebellen	Kneifel Hans	Perry Rhodan	scifi	Pabel-Moewig
Die CREST im Strahlensturm	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Tödliche Ernte	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Das Schiff der grünen Geister	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Die Schwelle zum Nichts	Kneifel Hans	Perry Rhodan	scifi	Pabel-Moewig
Die Bestie erwacht	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Die Hyperseuche	Mahr Kurt	Perry Rhodan	scifi	Pabel-Moewig
Das Versteck in der Zukunft	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Das System der 13 Monde	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Das Ende der Dolans	Kneifel Hans	Perry Rhodan	scifi	Pabel-Moewig
Alarm für die Galaxis	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Menschheit im Zwielicht	Scheer Karl-Herbert	Perry Rhodan	scifi	Pabel-Moewig
Aufbruch ins All	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
UFOs in der Galaxis	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Die Straße der Container	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Die Piraten-Lady	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Die Marionetten von Astera	Kneifel Hans	Perry Rhodan	scifi	Pabel-Moewig
Nachricht aus der Zukunft	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Das neue Element	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Amoklauf der Mutanten	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Der Mann, der doppelt starb	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Das Geheimnis von Olymp	Kneifel Hans	Perry Rhodan	scifi	Pabel-Moewig
Brennpunkt Mimas	Kneifel Hans	Perry Rhodan	scifi	Pabel-Moewig
Gefahr von Sol	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Die Sonnenforscher	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Der Weltraum-Zirkus	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Freunde aus einem fremden Universum	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Der Supermutant	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Attentat auf die Intersolar	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Kurier der Galaxis	Kneifel Hans	Perry Rhodan	scifi	Pabel-Moewig
Konferenz der Verräter	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Die Rätsel der Vergangenheit	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Report eines Neandertalers	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Die Zeitpendler	Kneifel Hans	Perry Rhodan	scifi	Pabel-Moewig
Sonderkommando Atlan	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Im Zeitstrom verschollen	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Die Attacke der Zentauren	Kneifel Hans	Perry Rhodan	scifi	Pabel-Moewig
Das Ding auf dem Mond	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Am See der Götter	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Die Stunde der Thunderbolts	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Das Land der blauen Türme	Kneifel Hans	Perry Rhodan	scifi	Pabel-Moewig
Das Ultimatum der Cappins	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Energie aus dem Jenseits	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Die Welt der Mutanten	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Die Stadt der tausend Fallen	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Das Erbe des Ertrusers	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Das Drei-Planeten-Spiel	Kneifel Hans	Perry Rhodan	scifi	Pabel-Moewig
Testflug nach Atlantis	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Schirmherr der Zeit	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Im Jahr der Cappins	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Schaltzentrale OVARON	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Der Ring des Verderbens	Kneifel Hans	Perry Rhodan	scifi	Pabel-Moewig
Zwischen Mars und Jupiter	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Die Bestien von Zeut	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Überfall auf Exilot	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Welten in Angst	Kneifel Hans	Perry Rhodan	scifi	Pabel-Moewig
Das Kommandogehirn	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Die Zeitbrüder	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Der Terraner und der Gläserne	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Der alte Admiral	Kneifel Hans	Perry Rhodan	scifi	Pabel-Moewig
Das Ende des Diktators	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Aufbruch der MARCO POLO	Scheer Karl-Herbert	Perry Rhodan	scifi	Pabel-Moewig
Die falschen Götter	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Planet der Pazifisten	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Vorsicht – radioaktiv!	Kneifel Hans	Perry Rhodan	scifi	Pabel-Moewig
Plünderer der Sterne	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Auf der Arenawelt	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Der Schaukampf	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Die Operationsbasis	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Im Arsenal der Androiden	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Der Archivplanet	Kneifel Hans	Perry Rhodan	scifi	Pabel-Moewig
Zeitpunkt X	Kneifel Hans	Perry Rhodan	scifi	Pabel-Moewig
Flucht ins Ungewisse	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Der Wissende	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Die Spione von Siga	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Der falsche Ganjo	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Ein Steckbrief für die MARCO POLO	Kneifel Hans	Perry Rhodan	scifi	Pabel-Moewig
Die Stadt und das Raumschiff	Kneifel Hans	Perry Rhodan	scifi	Pabel-Moewig
Der letzte Mann der DOLDA	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Der Telekinet	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Der Tod fliegt mit	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Testfall MARCO POLO	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Der letzte Test	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Das violette Feuer	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Die verrückten Roboter	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Das Duell der Mächtigen	Kneifel Hans	Perry Rhodan	scifi	Pabel-Moewig
Der große Vasall	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Der Schrecken von Takera	Kneifel Hans	Perry Rhodan	scifi	Pabel-Moewig
Invasion der Schatten	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Die Schlacht um Olymp	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Ganjo-Alarm	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Der Dieb von Gruelfin	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Die Clique der Verräter	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Die Feinde des Ganjos	Kneifel Hans	Perry Rhodan	scifi	Pabel-Moewig
Im Zeichen des Ganjos	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Das Ende der ODIKON	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Die Mutanten von Erysgan	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Zwischen Weltraum und Untergrund	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Ich, der Ganjo	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Plan der Vernichtung	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Gucky und der Verräter	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
System der tausend Fallen	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Transmitter nach Takera	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Das stählerne Gefängnis	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Panik auf Titan	Kneifel Hans	Perry Rhodan	scifi	Pabel-Moewig
Mond der Gefahren	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Der Botschafter von Sol	Kneifel Hans	Perry Rhodan	scifi	Pabel-Moewig
Die Flotte der Clans	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Die Armee der Kriegsdiener	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Die Rückkehr des Takerers	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Entscheidung in der Plutobahn	Kneifel Hans	Perry Rhodan	scifi	Pabel-Moewig
Sie kamen aus dem Nichts	Scheer Karl-Herbert	Perry Rhodan	scifi	Pabel-Moewig
In der Betonwüste	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Der Ritter mit dem Flammenschwert	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Planet der Digger	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Das Raumschiff des gelben Götzen	Kneifel Hans	Perry Rhodan	scifi	Pabel-Moewig
Im Schwarm gefangen	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Die Göttin der Symbionten	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Zwischenspiel auf Tahun	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Treffpunkt zwischen den Sternen	Kneifel Hans	Perry Rhodan	scifi	Pabel-Moewig
Die Banditen von Terrania	Vlcek Ernst	Perry Rhodan	scifi	Pabel-Moewig
Die Ausgestoßenen	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Das Volk der Sklaven	Kneifel Hans	Perry Rhodan	scifi	Pabel-Moewig
Der Flug der GATOS BAY	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Ein Platz für Verdammte	Vlcek Ernst	Perry Rhodan	scifi	Pabel-Moewig
Der Weltraumkurier	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Die Wächter der Einsamkeit	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Sandal, der Rächer	Kneifel Hans	Perry Rhodan	scifi	Pabel-Moewig
Notruf des Unsterblichen	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Sturmlauf in den Tod	Francis Hans Gerhard	Perry Rhodan	scifi	Pabel-Moewig
Das Heimliche Imperium	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Unter Parazwang	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Kampf um die Sonnenstadt	Vlcek Ernst	Perry Rhodan	scifi	Pabel-Moewig
Die Spur des Rächers	Kneifel Hans	Perry Rhodan	scifi	Pabel-Moewig
Die Planetenräuber	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Die Gelben Eroberer	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Das große Sterben	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Söldner der Galaxis	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Die Insel der Glücklichen	Kneifel Hans	Perry Rhodan	scifi	Pabel-Moewig
Die Diener des gelben Götzen	Kneifel Hans	Perry Rhodan	scifi	Pabel-Moewig
Die letzten Tage der Amazonen	Vlcek Ernst	Perry Rhodan	scifi	Pabel-Moewig
Die Sternenflut	Francis Hans Gerhard	Perry Rhodan	scifi	Pabel-Moewig
Die Macht der Sieben	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Die Alte von USTRAC	Mahr Kurt	Perry Rhodan	scifi	Pabel-Moewig
Der Durchbruch	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Der Schwarze Dämon	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Transport ins Ungewisse	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Götzendämmerung	Vlcek Ernst	Perry Rhodan	scifi	Pabel-Moewig
An Bord der MARCO POLO	Kneifel Hans	Perry Rhodan	scifi	Pabel-Moewig
Die Panikmacher	Francis Hans Gerhard	Perry Rhodan	scifi	Pabel-Moewig
Das Experiment der Cynos	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Die Attacke der Cynos	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Im Banne des Panikfeldes	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Die Stunde des Zentauren	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Das letzte Aufgebot der MARCO POLO	Vlcek Ernst	Perry Rhodan	scifi	Pabel-Moewig
Die Späher der GEVARI	Kneifel Hans	Perry Rhodan	scifi	Pabel-Moewig
Der Maskenträger	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Menschen unter Cynos	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Die Sonne warf keinen Schatten	Mahr Kurt	Perry Rhodan	scifi	Pabel-Moewig
Testflug zur Erde	Francis Hans Gerhard	Perry Rhodan	scifi	Pabel-Moewig
Das Elixier der Götter	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Rückkehr ins Jahr 2000	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Menschheit im Test	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Schlachtfeld Erde	Vlcek Ernst	Perry Rhodan	scifi	Pabel-Moewig
Die Gladiatoren von Terra	Kneifel Hans	Perry Rhodan	scifi	Pabel-Moewig
Kidnapper im Weltraum	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Jenseits der Energiemauer	Ewers Horst Gehrmann	Perry Rhodan	scifi	Pabel-Moewig
Der Sonnengigant	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Das Gesetz der Götzen	Francis Hans Gerhard	Perry Rhodan	scifi	Pabel-Moewig
Die Erde im Hypersturm	Vlcek Ernst	Perry Rhodan	scifi	Pabel-Moewig
Die Inseln des Wahnsinns	Kneifel Hans	Perry Rhodan	scifi	Pabel-Moewig
Gucky, der Tambu-Gott	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Verstoßen ins Nichts	Voltz William	Perry Rhodan	scifi	Pabel-Moewig
Kurier nach Sol	Mahr Kurt	Perry Rhodan	scifi	Pabel-Moewig
